id,opp,oppBebouwd,hoogte,oppVerhouding,volVerhouding,volNieuw,volNieuwGem
91,160.26,296.88,10.563409,1.8524898,19.568607,0.0,
92,642.42,135.28,5.639163,0.21057875,1.187488,0.0,
93,692.59,135.24,0.31478262,0.19526704,0.061466668,0.0,
94,124.0,74.63,8.49,0.6018548,5.109747,0.0,
95,5195.11,0.0,0.0,0.0,0.0,0.0,
96,32.17,0.0,0.0,0.0,0.0,0.0,
97,921.87,0.0,0.0,0.0,0.0,0.0,
98,327.91,83.65,0.0,0.2551005,0.0,0.0,
99,265.37,89.88,10.4,0.3386969,3.5224478,0.0,
100,1918.08,311.55,8.01,0.16242805,1.3010486,0.0,
101,266.16,105.66,7.252663,0.39697927,2.8791568,0.0,
102,11.63,0.0,0.0,0.0,0.0,0.0,
103,6138.81,0.0,0.0,0.0,0.0,0.0,
104,1058.34,222.21,5.768387,0.2099609,1.2111357,0.0,
105,189.97,104.48,9.15,0.5499816,5.0323315,0.0,
106,341.93,98.23,3.46,0.28728104,0.99399245,0.0,
107,14509.06,0.0,0.0,0.0,0.0,0.0,
108,83.52,83.52,8.28,1.0,8.28,0.0,
109,174.8,80.05,4.31,0.45795196,1.9737729,0.0,
110,972.92,0.0,0.0,0.0,0.0,0.0,
111,340.26,72.99,5.81,0.21451242,1.2463171,0.0,
112,108.52,57.71,3.28,0.5317914,1.7442757,0.0,
113,2121.42,398.29,3.0142539,0.1877469,0.56591684,0.0,
114,127.29,79.26,3.0370564,0.6226727,1.891092,0.0,
115,366.48,159.74,4.5527234,0.43587646,1.984425,0.0,
116,342.62,227.92,6.4512706,0.66522676,4.291558,0.0,
117,991.47,197.65,6.1473193,0.19935046,1.2254709,0.0,
118,1165.47,241.71,5.3748226,0.20739274,1.1146992,0.0,
119,360.26,122.47,5.68,0.33994892,1.9309098,0.0,
120,340.05,138.89,9.43,0.40843993,3.851589,0.0,
121,337.81,0.0,0.0,0.0,0.0,0.0,
122,6742.91,0.0,0.0,0.0,0.0,0.0,
123,43.13,92.84,9.64,2.152562,20.750698,0.0,
124,594.06,143.99,4.6141143,0.24238293,1.1183826,0.0,
125,397.87,99.31,2.72,0.24960414,0.67892325,0.0,
126,282.66,112.84,11.0,0.3992075,4.3912826,0.0,
127,326.46,99.67,6.9855604,0.3053054,2.1327293,0.0,
128,1507.53,298.72,1.3143579,0.19815195,0.26044258,0.0,
129,59.66,59.66,9.78,1.0,9.78,0.0,
130,61.14,0.0,0.0,0.0,0.0,0.0,
131,206.31,79.55,0.0,0.38558483,0.0,0.0,
132,228.08,80.1,0.0,0.35119256,0.0,0.0,
133,177.94,0.0,0.0,0.0,0.0,0.0,
134,19.5,46.79,2.29,2.3994873,5.494826,0.0,
135,107.55,75.64,2.92,0.7033008,2.0536382,0.0,
136,474.7,431.56,8.270066,0.9091215,7.518495,0.0,
137,94.31,94.32,7.62,1.0001061,7.620808,0.0,
138,153.64,152.23,9.31,0.9908227,9.22456,0.0,
139,19615.23,0.0,0.0,0.0,0.0,0.0,
140,61.42,0.0,0.0,0.0,0.0,0.0,
141,181.26,112.56,6.997183,0.62098646,4.3451557,0.0,
142,2632.48,0.0,0.0,0.0,0.0,0.0,
143,332.39,0.0,0.0,0.0,0.0,0.0,
144,153.54,0.0,0.0,0.0,0.0,0.0,
145,110.36,56.83,7.91,0.5149511,4.0732627,0.0,
146,17461.49,0.0,0.0,0.0,0.0,0.0,
147,11.69,0.0,0.0,0.0,0.0,0.0,
148,1957.81,351.42,7.0064716,0.17949648,1.257637,0.0,
149,1808.37,0.0,0.0,0.0,0.0,0.0,
150,963.4,249.83,4.636332,0.25932115,1.2022989,0.0,
151,611.78,0.0,0.0,0.0,0.0,0.0,
152,422.51,23.19,2.04,0.054886274,0.111968,0.0,
153,225.82,84.18,3.7,0.37277478,1.3792666,0.0,
154,1027.89,0.0,0.0,0.0,0.0,0.0,
155,184.09,91.47,10.33,0.49687654,5.132735,0.0,
156,2803.29,0.0,0.0,0.0,0.0,0.0,
157,2906.87,918.27,7.45,0.31589648,2.3534286,0.0,
158,65.69,272.31,15.674414,4.1453795,64.976395,0.0,
159,20047.12,0.0,0.0,0.0,0.0,0.0,
160,21.0,0.0,0.0,0.0,0.0,0.0,
161,41.83,61.46,11.01,1.4692804,16.176777,0.0,
162,130.39,59.03,7.87,0.45271876,3.5628965,0.0,
163,413.96,102.75,8.58,0.2482124,2.1296623,0.0,
164,339.85,107.5,6.167654,0.316316,1.9509279,0.0,
165,6369.95,2192.35,0.36,0.3441707,0.12390146,0.0,
166,766.29,145.22,0.0,0.18951051,0.0,0.0,
167,741.4,219.14,10.605589,0.29557592,3.1347566,0.0,
168,4828.55,0.0,0.0,0.0,0.0,0.0,
169,2516.47,0.0,0.0,0.0,0.0,0.0,
170,7941.01,3675.03,5.944433,0.46279126,2.7510319,0.0,
171,323.19,140.06,8.9,0.43336737,3.8569694,0.0,
172,712.56,0.0,0.0,0.0,0.0,0.0,
173,316.0,103.73,6.9922733,0.3282595,2.2952802,0.0,
174,6937.73,1410.71,5.877862,0.20333885,1.1951976,0.0,
175,788.61,210.79,5.76,0.2672931,1.5396082,0.0,
176,35.37,89.28,2.99,2.524173,7.547278,0.0,
177,185.64,61.96,10.64,0.33376428,3.551252,0.0,
178,879.95,2809.42,7.6,3.192704,24.264551,0.0,
179,5942.06,0.0,0.0,0.0,0.0,0.0,
180,135.85,114.0,5.9156423,0.8391608,4.964175,0.0,
181,188.14,82.62,8.880456,0.4391411,3.8997731,0.0,
182,995.9,135.46,6.098404,0.13601768,0.8294907,0.0,
183,281.91,61.61,6.93,0.21854493,1.5145164,0.0,
184,120.37,334.11,8.47,2.7756915,23.510107,0.0,
185,2993.94,0.0,0.0,0.0,0.0,0.0,
186,189.45,157.43,6.3,0.8309844,5.235202,0.0,
187,114.02,14.07,2.61,0.12339941,0.32207245,0.0,
188,18449.57,0.0,0.0,0.0,0.0,0.0,
189,528.64,186.92,3.26,0.35358655,1.1526922,0.0,
190,25.27,0.0,0.0,0.0,0.0,0.0,
191,288.0,87.23,9.49,0.30288196,2.8743496,0.0,
192,694.84,177.09,5.98,0.25486442,1.5240892,0.0,
193,25.89,0.0,0.0,0.0,0.0,0.0,
194,1567.14,115.3,2.6109958,0.073573515,0.19210014,0.0,
195,12347.12,0.0,0.0,0.0,0.0,0.0,
196,143.72,77.58,10.52,0.53979963,5.6786923,0.0,
197,2082.32,0.0,0.0,0.0,0.0,0.0,
198,846.67,161.72,1.1824104,0.19100712,0.22584881,0.0,
199,39.51,64.96,11.11,1.6441407,18.266403,0.0,
200,3187.35,0.0,0.0,0.0,0.0,0.0,
201,805.93,152.55,0.0,0.18928443,0.0,0.0,
202,276.65,93.42,7.71,0.337683,2.603536,0.0,
