type,CAT perceelopp,CAT OppBebouwd,Count of id,Average of dVolumeR (2),Average of dVol vergroten,Average of dVol verkleinen
woongebied,1_heel klein,4_groot,28,-365.80176428571434,0,-365.80176428571434
woongebied,2_klein,2_klein,31,-67.57367303225804,0,-67.57367303225804
woongebied,2_klein,3_middel,49,-62.36194714285711,0,-62.36194714285711
woongebied,2_klein,4_groot,58,-225.20254224137923,0,-225.20254224137923
woongebied,2_klein,5_zeer groot,7,-1732.2732999999996,0,-1732.2732999999996
woongebied,3_middel,2_klein,6,-47.86383433333333,0,-47.86383433333333
woongebied,3_middel,3_middel,13,-111.07591615384617,0,-111.07591615384617
woongebied,3_middel,4_groot,70,-127.78164999999996,0,-127.78164999999996
woongebied,3_middel,5_zeer groot,20,-846.2941549999999,0,-846.2941549999999
woongebied,4_groot,2_klein,2,-119.67249800000002,0,-119.67249800000002
woongebied,4_groot,3_middel,1,-21.307999999999993,0,-21.307999999999993
woongebied,4_groot,4_groot,9,-104.3721177777778,0,-104.3721177777778
woongebied,4_groot,5_zeer groot,19,-200.23122105263158,0,-200.23122105263158
woongebied,5_heel groot,4_groot,1,-22.12704000000008,0,-22.12704000000008
woongebied,5_heel groot,5_zeer groot,4,-602.9375000000002,0,-602.9375000000002
woonvernieuwingsgebied,1_heel klein,2_klein,80,-99.73312517499998,0,-99.73312517499998
woonvernieuwingsgebied,1_heel klein,3_middel,64,-151.34110031249998,0,-151.34110031249998
woonvernieuwingsgebied,1_heel klein,4_groot,51,-313.98840901960784,0,-313.98840901960784
woonvernieuwingsgebied,1_heel klein,5_zeer groot,1,-1744.0320000000002,0,-1744.0320000000002
woonvernieuwingsgebied,2_klein,2_klein,29,-93.2305051034483,0,-93.2305051034483
woonvernieuwingsgebied,2_klein,3_middel,62,-83.47427161290322,0,-83.47427161290322
woonvernieuwingsgebied,2_klein,4_groot,101,-251.76225455445547,0,-251.76225455445547
woonvernieuwingsgebied,2_klein,5_zeer groot,8,-1500.1070950000003,0,-1500.1070950000003
woonvernieuwingsgebied,3_middel,2_klein,11,-60.93736836363635,0,-60.93736836363635
woonvernieuwingsgebied,3_middel,3_middel,17,-129.86987470588238,0,-129.86987470588238
woonvernieuwingsgebied,3_middel,4_groot,106,-220.39562650943392,0,-220.39562650943392
woonvernieuwingsgebied,3_middel,5_zeer groot,41,-1223.256187804878,0,-1223.256187804878
woonvernieuwingsgebied,4_groot,2_klein,2,-259.806,0,-259.806
woonvernieuwingsgebied,4_groot,3_middel,1,-77.16999999999996,0,-77.16999999999996
woonvernieuwingsgebied,4_groot,4_groot,25,-176.468548,0,-176.468548
woonvernieuwingsgebied,4_groot,5_zeer groot,28,-455.9655035714286,0,-455.9655035714286
woonvernieuwingsgebied,5_heel groot,4_groot,2,-222.18004000000005,0,-222.18004000000005
woonvernieuwingsgebied,5_heel groot,5_zeer groot,8,-1632.8652625000002,0,-1632.8652625000002
