id,opp,oppBebouwd,hoogte,oppVerhouding,volVerhouding,zone,zoneId,type,typeId,mobi,volume,volNieuw,volNieuwGem
44,1460.03,614.08,3.5988886,0.4205941,1.5136714,SINT-JANS VELD,12,buitengebied,6,6841.0,2210.0056,2838.5085,2550.184
45,105.82,83.06,9.05,0.7849178,7.103506,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,8029.0,751.693,961.78564,766.89484
46,248.09,85.02,8.62,0.34269822,2.9540586,MOLENSTRAAT,27,woongebied,1,7840.0,732.8724,923.79156,774.659
47,10018.42,0.0,0.0,0.0,0.0,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,7689.0,0.0,0.0,2.4945748
48,313.88,116.91,9.62,0.3724672,3.5831342,MOLENSTRAAT,27,woongebied,1,7795.0,1124.6742,1466.8447,1191.987
49,208.96,110.58,3.36,0.5291922,1.7780857,MOEIE,16,woonvernieuwingsgebied,2,7571.0,371.5488,631.7565,580.2776
50,1235.12,0.0,0.0,0.0,0.0,GALGENAKKER,22,woonuitbreidingsgebied,3,7113.0,0.0,186.89714,186.8821
51,7062.39,0.0,0.0,0.0,0.0,SINT-JANS VELD,12,landbouwgebied,5,5997.0,0.0,0.0,0.3173967
52,395.78,234.48,5.507485,0.5924503,3.2629113,MOLENSTRAAT,27,woongebied,1,7875.0,1291.395,1291.395,1423.695
53,712.53,178.92,4.360161,0.2511052,1.0948591,GALGENAKKER,22,woongebied,1,6979.0,780.12,1164.0548,993.7086
54,9040.14,0.0,0.0,0.0,0.0,MOERSTRAAT,15,landbouwgebied,5,4980.0,0.0,0.0,0.6030536
55,117.2,67.19,11.36,0.57329357,6.5126143,MOEIE,16,woonvernieuwingsgebied,2,7600.0,763.2784,973.3711,813.54285
56,1204.63,352.94,4.8053102,0.2929862,1.4078897,VELDEKEN,6,landbouwgebied,5,7368.0,1695.9862,2186.075,1976.2828
57,1148.66,0.0,0.0,0.0,0.0,VELDEKEN,6,landbouwgebied,5,6143.0,0.0,0.0,0.0
58,846.92,242.61,7.0230536,0.28646153,2.0118346,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7923.0,1703.863,1560.243,1863.3672
59,26.16,0.0,0.0,0.0,0.0,MOLENSTRAAT,27,woongebied,1,7931.0,0.0,0.0,49.898205
60,706.62,249.78,6.497594,0.3534856,2.2968059,MOLENSTRAAT,27,woongebied,1,7523.0,1622.969,1622.969,1754.2384
61,191.31,81.63,8.17,0.42668965,3.4860547,LEKESTRAAT   SCHAPERIJ,24,woongebied,1,8021.0,666.9171,577.90436,687.2001
