shapeid,OIDN,oppPerceel,oppBebouwd,volume,hoogte,woongebied,woonvernie,woonuitbre,industrie,landbouw,zone,zoneId,Mobiscore,X,Y
"29","980961",150.89,133.390000,1332.566000,9.990,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","8063",94041.8855430000,208239.6374500000
"30","986067",436.59,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,SINT-JANS VELD,"12","6716",93659.1077520000,210276.1291900000
"31","979760",438.40,180.310000,1412.323000,7.833,MOLENSTRAAT,,,,,MOLENSTRAAT,"27","7810",93254.6940180000,209043.8929400000
"32","983443",501.36,22.840000,74.458000,3.260,,,,,,HOGE BOSSTRAAT,"3","7673",95283.8406460000,207533.5280900000
"33","976700",119.05,118.810000,2087.492000,17.570,EEKLO CENTRUM,,,,,EEKLO CENTRUM,"17","8033",93786.0386570000,208660.9587600000
"34","1071723",109.99,104.460000,1260.832000,12.070,EEKLO CENTRUM,KERKSTRAAT   ROZE,,,,EEKLO CENTRUM,"17","8033",93830.6994380000,208745.8790600000
"35","978402",70.75,62.850000,723.404000,11.510,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","8063",94015.6815190000,208225.4296600000
"36","983474",270.33,102.230000,669.206000,6.546,LEKESTRAAT   SCHAPERIJ,,,,,LEKESTRAAT   SCHAPERIJ,"24","7752",95249.9893060000,207800.7901500000
"37","978531",2308.09,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,VELDEKEN,"6","6924",93624.2551020000,207264.6060700000
"38","982593",8633.28,0.000000,0.000000,,,,,,,SINT-JANS VELD,"12","5456",92311.2418520000,211065.3055600000
"39","974379",627.68,141.080000,981.087000,6.954,MOLENSTRAAT,,,,,MOLENSTRAAT,"27","7915",94024.4997980000,209255.1210200000
